unknown,TB,DR,EF,CC,ER,LT,AA,DG,AG,NW
4365720.0,,21304440.0,,21897120.0,28049040.0,,,,,
4441140.0,,21308820.0,,21901080.0,,,,,,
4618800.0,,22087020.0,,22000500.0,,,,,,
7994100.0,,22427880.0,,22429500.0,,,,,,
10585740.0,,22429440.0,,22429560.0,,,,,,
12831960.0,,22431600.0,,22509300.0,,,,,,
14137920.0,,22504740.0,,22509720.0,,,,,,
15865020.0,,22509960.0,,23734500.0,,,,,,
15865380.0,,22517820.0,,23970660.0,,,,,,
15865740.0,,22596540.0,,23970780.0,,,,,,
16123980.0,,22676640.0,,24410400.0,,,,,,
,,22678140.0,,24936240.0,,,,,,
,,23037660.0,,25095480.0,,,,,,
,,23200020.0,,25096260.0,,,,,,
,,23200800.0,,25101600.0,,,,,,
,,23209560.0,,26314200.0,,,,,,
,,23716560.0,,26831220.0,,,,,,
,,23812200.0,,26831460.0,,,,,,
,,23888940.0,,26909100.0,,,,,,
,,23893560.0,,26920140.0,,,,,,
,,23895240.0,,27012720.0,,,,,,
,,23896740.0,,27865440.0,,,,,,
,,23978460.0,,28039140.0,,,,,,
,,23979900.0,,28136400.0,,,,,,
,,23983020.0,,28472940.0,,,,,,
,,24424440.0,,28475280.0,,,,,,
,,24497040.0,,29341920.0,,,,,,
,,24921180.0,,,,,,,,
,,24922200.0,,,,,,,,
,,24925740.0,,,,,,,,
,,24930480.0,,,,,,,,
,,25102980.0,,,,,,,,
,,25114140.0,,,,,,,,
,,25439160.0,,,,,,,,
,,25443000.0,,,,,,,,
,,25444800.0,,,,,,,,
,,25456140.0,,,,,,,,
,,25612200.0,,,,,,,,
,,25612560.0,,,,,,,,
,,25617240.0,,,,,,,,
,,25618140.0,,,,,,,,
,,25619520.0,,,,,,,,
,,25624920.0,,,,,,,,
,,25626240.0,,,,,,,,
,,25717500.0,,,,,,,,
,,26218440.0,,,,,,,,
,,26828340.0,,,,,,,,
,,26915460.0,,,,,,,,
,,27000060.0,,,,,,,,
,,27611220.0,,,,,,,,
,,27873840.0,,,,,,,,
,,28125420.0,,,,,,,,
,,28126500.0,,,,,,,,
,,28202100.0,,,,,,,,
,,28212000.0,,,,,,,,
,,28214100.0,,,,,,,,
,,28220160.0,,,,,,,,
,,28473120.0,,,,,,,,
,,28557300.0,,,,,,,,
,,28565520.0,,,,,,,,
,,28653600.0,,,,,,,,
,,28654680.0,,,,,,,,
,,28722720.0,,,,,,,,
